,wav_file,sentence_number,word,silence_length,speech_rate,voice,condition,pronounced_item,word_numbers,depth,opening_nodes,closing_nodes,relative_depth,tree_segment,indices,file
0,0.0,1,The,0.336,205,Samantha,sentence,1,0,2,2,1,0,(NP(DTThe),"(0, 0)",The_Black_Willow.mrg
1,0.0,1,Black,0.336,205,Samantha,sentence,1,1,2,1,1,0,(JJBlack),"(1, 0)",The_Black_Willow.mrg
2,0.0,1,Willow,0.336,205,Samantha,sentence,1,2,2,1,2,-1,(NNWillow)),"(2, 0)",The_Black_Willow.mrg
3,0.0,2,Allan,0.258,205,Samantha,sentence,1,0,3,3,2,-1,((NP-SBJ(NNPAllan)),"(0, 0, 0)",The_Black_Willow.mrg
4,0.0,2,sat,0.258,205,Samantha,sentence,1,1,4,3,1,-1,(V(V(VBDsat),"(1, 0, 0, 0)",The_Black_Willow.mrg
5,0.0,2,down,0.258,205,Samantha,sentence,1,2,5,2,2,0,(PRT(RPdown)),"(1, 0, 1, 0, 0)",The_Black_Willow.mrg
6,0.0,2,at,0.258,205,Samantha,sentence,1,3,5,2,1,-1,(PP-LOC(INat),"(1, 0, 2, 0, 0)",The_Black_Willow.mrg
7,0.0,2,his,0.258,205,Samantha,sentence,1,4,6,2,1,0,(NP(PRP$his),"(1, 0, 2, 1, 0, 0)",The_Black_Willow.mrg
8,0.0,2,desk,0.258,205,Samantha,sentence,1,5,6,1,4,3,(NNdesk)))),"(1, 0, 2, 1, 1, 0)",The_Black_Willow.mrg
9,0.0,2,and,0.258,205,Samantha,sentence,1,6,3,1,1,-1,(CCand),"(1, 1, 0)",The_Black_Willow.mrg
10,0.0,2,pulled,0.258,205,Samantha,sentence,1,7,4,2,1,-1,(V(VBDpulled),"(1, 2, 0, 0)",The_Black_Willow.mrg
11,0.0,2,the,0.258,205,Samantha,sentence,1,8,5,2,1,0,(NP-1(DTthe),"(1, 2, 1, 0, 0)",The_Black_Willow.mrg
12,0.0,2,chair,0.258,205,Samantha,sentence,1,9,5,1,2,0,(NNchair)),"(1, 2, 1, 1, 0)",The_Black_Willow.mrg
13,0.0,2,in,0.258,205,Samantha,sentence,1,10,5,2,2,-1,(PRT(RPin)),"(1, 2, 2, 0, 0)",The_Black_Willow.mrg
14,0.0,2,*PRO*-1,0.258,205,Samantha,sentence,1,10,6,3,2,0,(S-CLR(NP-SBJ(-NONE-*PRO*-1)),"(1, 2, 3, 0, 0, 0)",The_Black_Willow.mrg
15,0.0,2,close,0.258,205,Samantha,sentence,1,11,6,2,5,4,(ADJP-PRD(JJclose))))),"(1, 2, 3, 1, 0, 0)",The_Black_Willow.mrg
16,0.0,2,.,0.258,205,Samantha,sentence,0,11,2,1,2,2,(..)),"(2, 0)",The_Black_Willow.mrg
17,0.0,3,legs,0.083,205,Samantha,word_list,1,0,0,0,0,0,,0,The_Black_Willow.mrg
18,0.0,3,love,0.083,205,Samantha,word_list,1,1,0,0,0,0,,0,The_Black_Willow.mrg
