,wav_file,sentence_number,word,silence_length,speech_rate,voice,condition,pronounced_item,word_numbers,depth,opening_nodes,closing_nodes,relative_depth,tree_segment,indices,file
0,0.0,1,The,0.353,160,Ava,sentence,1,0,3,3,1,-1,(FRA(NP-TTL(DTThe),"(0, 0, 0)",cable_spool_fort.mrg
1,0.0,1,Cable,0.353,160,Ava,sentence,1,1,4,2,1,0,(NML(NNCable),"(0, 1, 0, 0)",cable_spool_fort.mrg
2,0.0,1,Spool,0.353,160,Ava,sentence,1,2,4,1,2,1,(NNSpool)),"(0, 1, 1, 0)",cable_spool_fort.mrg
3,0.0,1,Fort,0.353,160,Ava,sentence,1,3,3,1,2,0,(NNFort)),"(0, 2, 0)",cable_spool_fort.mrg
4,0.0,1,by,0.353,160,Ava,sentence,1,4,3,2,1,-1,(PP(INby),"(1, 0, 0)",cable_spool_fort.mrg
5,0.0,1,Bill,0.353,160,Ava,sentence,1,5,4,2,1,0,(NP(NNPBill),"(1, 1, 0, 0)",cable_spool_fort.mrg
6,0.0,1,Glover,0.353,160,Ava,sentence,1,6,4,1,4,2,(NNPGlover)))),"(1, 1, 1, 0)",cable_spool_fort.mrg
7,0.0,2,"""",0.988,160,Ava,sentence,0,-1,2,2,1,-1,"(FRAG("""")","(0, 0)",cable_spool_fort.mrg
8,0.0,2,Hey,0.988,160,Ava,sentence,1,0,3,2,2,1,(INTJ(UHHey)),"(1, 0, 0)",cable_spool_fort.mrg
9,0.0,2,",",0.988,160,Ava,sentence,0,0,2,1,1,-1,"(,,)","(2, 0)",cable_spool_fort.mrg
10,0.0,2,Roy,0.988,160,Ava,sentence,1,1,3,2,2,1,(NP-VOC(NNPRoy)),"(3, 0, 0)",cable_spool_fort.mrg
11,0.0,2,?,0.988,160,Ava,sentence,0,1,2,1,1,0,(.?),"(4, 0)",cable_spool_fort.mrg
12,0.0,2,"""",0.988,160,Ava,sentence,0,1,2,1,2,2,"(""""))","(5, 0)",cable_spool_fort.mrg
13,0.0,2,shojen,0.988,160,Ava,pseudo_words,1,1,0,0,0,-3,,0,cable_spool_fort.mrg
14,0.0,3,"""",0.463,205,Allison,sentence,0,-1,3,3,1,0,"(SBARQ(WHNP("""")","(0, 0, 0)",cable_spool_fort.mrg
15,0.0,3,What,0.463,205,Allison,sentence,1,0,3,1,2,1,(WPWhat)),"(0, 1, 0)",cable_spool_fort.mrg
16,0.0,3,?,0.463,205,Allison,sentence,0,0,2,1,1,0,(.?),"(1, 0)",cable_spool_fort.mrg
17,0.0,3,"""",0.463,205,Allison,sentence,0,0,2,1,2,0,"(""""))","(2, 0)",cable_spool_fort.mrg
18,0.0,4,"""",0.163,190,Samantha,sentence,0,-1,2,2,1,-2,"(("""")","(0, 0)",cable_spool_fort.mrg
19,0.0,4,You,0.163,190,Samantha,sentence,1,0,4,3,2,0,(S-TPC-1(NP-SBJ(PRPYou)),"(1, 0, 0, 0)",cable_spool_fort.mrg
20,0.0,4,suck,0.163,190,Samantha,sentence,1,1,4,2,3,2,(VP(VBPsuck))),"(1, 1, 0, 0)",cable_spool_fort.mrg
21,0.0,4,.,0.163,190,Samantha,sentence,0,1,2,1,1,0,"(,.)","(2, 0)",cable_spool_fort.mrg
22,0.0,4,"""",0.163,190,Samantha,sentence,0,1,2,1,1,-1,"("""")","(3, 0)",cable_spool_fort.mrg
23,0.0,4,Chad,0.163,190,Samantha,sentence,1,2,3,2,2,0,(NP-SBJ(NNPChad)),"(4, 0, 0)",cable_spool_fort.mrg
24,0.0,4,said,0.163,190,Samantha,sentence,1,3,3,2,1,-1,(VP(VBDsaid),"(5, 0, 0)",cable_spool_fort.mrg
25,0.0,4,*T*-1,0.163,190,Samantha,sentence,1,3,4,2,3,2,(S(-NONE-*T*-1))),"(5, 1, 0, 0)",cable_spool_fort.mrg
26,0.0,4,.,0.163,190,Samantha,sentence,0,3,2,1,2,-2,(..)),"(6, 0)",cable_spool_fort.mrg
27,0.0,5,He,0.391,190,Samantha,sentence,1,0,4,4,2,0,(UC((NP-SBJ(PRPHe)),"(0, 0, 0, 0)",cable_spool_fort.mrg
28,0.0,5,wished,0.391,190,Samantha,sentence,1,1,4,2,1,-1,(V(VBDwished),"(0, 1, 0, 0)",cable_spool_fort.mrg
29,0.0,5,0,0.391,190,Samantha,sentence,1,1,5,2,1,-2,(SBA(-NONE-0),"(0, 1, 1, 0, 0)",cable_spool_fort.mrg
30,0.0,5,Roy,0.391,190,Samantha,sentence,1,2,7,3,2,0,((NP-SBJ(NNPRoy)),"(0, 1, 1, 1, 0, 0, 0)",cable_spool_fort.mrg
31,0.0,5,would,0.391,190,Samantha,sentence,1,3,7,2,1,0,(V(MDwould),"(0, 1, 1, 1, 1, 0, 0)",cable_spool_fort.mrg
32,0.0,5,n't,0.391,190,Samantha,sentence,1,4,7,1,1,-1,(RBn't),"(0, 1, 1, 1, 1, 1, 0)",cable_spool_fort.mrg
33,0.0,5,fall,0.391,190,Samantha,sentence,1,5,8,2,1,-1,(V(VBfall),"(0, 1, 1, 1, 1, 2, 0, 0)",cable_spool_fort.mrg
34,0.0,5,for,0.391,190,Samantha,sentence,1,6,9,2,1,-1,(PP-CLR(INfor),"(0, 1, 1, 1, 1, 2, 1, 0, 0)",cable_spool_fort.mrg
35,0.0,5,that,0.391,190,Samantha,sentence,1,7,10,2,1,0,(NP(DTthat),"(0, 1, 1, 1, 1, 2, 1, 1, 0, 0)",cable_spool_fort.mrg
36,0.0,5,gag,0.391,190,Samantha,sentence,1,8,10,1,3,1,(NNgag))),"(0, 1, 1, 1, 1, 2, 1, 1, 1, 0)",cable_spool_fort.mrg
37,0.0,5,every,0.391,190,Samantha,sentence,1,9,9,2,1,0,(NP-TMP(DTevery),"(0, 1, 1, 1, 1, 2, 2, 0, 0)",cable_spool_fort.mrg
38,0.0,5,time,0.391,190,Samantha,sentence,1,10,9,1,8,7,(NNtime)))))))),"(0, 1, 1, 1, 1, 2, 2, 1, 0)",cable_spool_fort.mrg
39,0.0,5,",",0.391,190,Samantha,sentence,0,10,2,1,1,0,"(,,)","(1, 0)",cable_spool_fort.mrg
40,0.0,5,"""",0.391,190,Samantha,sentence,0,10,2,1,1,-2,"("""")","(2, 0)",cable_spool_fort.mrg
41,0.0,5,*PRO*,0.391,190,Samantha,sentence,0,10,4,3,2,0,(S-IM(NP-SBJ(-NONE-*PRO*)),"(3, 0, 0, 0)",cable_spool_fort.mrg
42,0.0,5,get,0.391,190,Samantha,sentence,1,11,4,2,1,-1,(VP(VBget),"(3, 1, 0, 0)",cable_spool_fort.mrg
43,0.0,5,me,0.391,190,Samantha,sentence,1,12,5,2,2,0,(NP(PRPme)),"(3, 1, 1, 0, 0)",cable_spool_fort.mrg
44,0.0,5,a,0.391,190,Samantha,sentence,1,13,5,2,1,0,(NP(DTa),"(3, 1, 2, 0, 0)",cable_spool_fort.mrg
45,0.0,5,big,0.391,190,Samantha,sentence,1,14,5,1,1,0,(JJbig),"(3, 1, 2, 1, 0)",cable_spool_fort.mrg
46,0.0,5,rock,0.391,190,Samantha,sentence,1,15,5,1,3,2,(NNrock))),"(3, 1, 2, 2, 0)",cable_spool_fort.mrg
47,0.0,5,",",0.391,190,Samantha,sentence,0,15,3,1,1,-1,"(,,)","(3, 2, 0)",cable_spool_fort.mrg
48,0.0,5,Roy,0.391,190,Samantha,sentence,1,16,4,2,3,2,(NP-VOC(NNPRoy))),"(3, 3, 0, 0)",cable_spool_fort.mrg
49,0.0,5,.,0.391,190,Samantha,sentence,0,16,2,1,1,0,(..),"(4, 0)",cable_spool_fort.mrg
50,0.0,5,"""",0.391,190,Samantha,sentence,0,16,2,1,2,-1,"(""""))","(5, 0)",cable_spool_fort.mrg
51,0.0,6,Roy,0.553,190,Samantha,sentence,1,0,3,3,2,-1,((NP-SBJ-1(NNPRoy)),"(0, 0, 0)",cable_spool_fort.mrg
52,0.0,6,stooped,0.553,190,Samantha,sentence,1,1,4,3,1,-2,(V(V(VBDstooped),"(1, 0, 0, 0)",cable_spool_fort.mrg
53,0.0,6,*PRO*-1,0.553,190,Samantha,sentence,1,1,6,3,2,0,(S-PR(NP-SBJ(-NONE-*PRO*-1)),"(1, 0, 1, 0, 0, 0)",cable_spool_fort.mrg
54,0.0,6,to,0.553,190,Samantha,sentence,1,2,6,2,1,-1,(V(TOto),"(1, 0, 1, 1, 0, 0)",cable_spool_fort.mrg
55,0.0,6,pick,0.553,190,Samantha,sentence,1,3,7,2,1,-1,(V(VBpick),"(1, 0, 1, 1, 1, 0, 0)",cable_spool_fort.mrg
56,0.0,6,up,0.553,190,Samantha,sentence,1,4,8,2,2,-1,(PRT(RPup)),"(1, 0, 1, 1, 1, 1, 0, 0)",cable_spool_fort.mrg
57,0.0,6,a,0.553,190,Samantha,sentence,1,5,9,3,1,0,(N(N(DTa),"(1, 0, 1, 1, 1, 2, 0, 0, 0)",cable_spool_fort.mrg
58,0.0,6,big,0.553,190,Samantha,sentence,1,6,9,1,1,0,(JJbig),"(1, 0, 1, 1, 1, 2, 0, 1, 0)",cable_spool_fort.mrg
59,0.0,6,",",0.553,190,Samantha,sentence,0,6,9,1,1,0,"(,,)","(1, 0, 1, 1, 1, 2, 0, 2, 0)",cable_spool_fort.mrg
60,0.0,6,white,0.553,190,Samantha,sentence,1,7,9,1,1,0,(JJwhite),"(1, 0, 1, 1, 1, 2, 0, 3, 0)",cable_spool_fort.mrg
61,0.0,6,caliche,0.553,190,Samantha,sentence,1,8,9,1,1,0,(JJcaliche),"(1, 0, 1, 1, 1, 2, 0, 4, 0)",cable_spool_fort.mrg
62,0.0,6,rock,0.553,190,Samantha,sentence,1,9,9,1,2,-1,(NNrock)),"(1, 0, 1, 1, 1, 2, 0, 5, 0)",cable_spool_fort.mrg
63,0.0,6,that,0.553,190,Samantha,sentence,1,10,10,3,2,-1,(SBA(WHNP-2(WDTthat)),"(1, 0, 1, 1, 1, 2, 1, 0, 0, 0)",cable_spool_fort.mrg
64,0.0,6,*T*-2,0.553,190,Samantha,sentence,1,10,11,3,2,0,((NP-SBJ(-NONE-*T*-2)),"(1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0)",cable_spool_fort.mrg
65,0.0,6,looked,0.553,190,Samantha,sentence,1,11,11,2,1,-1,(V(VBDlooked),"(1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0)",cable_spool_fort.mrg
