,wav_file,sentence_number,word,silence_length,speech_rate,voice,condition,pronounced_item,word_numbers,depth,opening_nodes,closing_nodes,relative_depth,tree_segment,indices,file
0,0.0,1,Tara,0.401,205,Allison,sentence,1,0,3,3,2,0,((NP-SBJ-1(NNPTara)),"(0, 0, 0)",lw1.mrg
1,0.0,1,stood,0.401,205,Allison,sentence,1,1,3,2,1,-2,(V(VBDstood),"(1, 0, 0)",lw1.mrg
2,0.0,1,*PRO*-1,0.401,205,Allison,sentence,1,1,5,3,2,0,(S-AD(NP-SBJ(-NONE-*PRO*-1)),"(1, 1, 0, 0, 0)",lw1.mrg
3,0.0,1,stock,0.401,205,Allison,sentence,1,2,5,2,1,0,(ADJP-PRD(RBstock),"(1, 1, 1, 0, 0)",lw1.mrg
4,0.0,1,-,0.401,205,Allison,sentence,0,2,5,1,1,0,(HYPH-),"(1, 1, 1, 1, 0)",lw1.mrg
5,0.0,1,still,0.401,205,Allison,sentence,1,3,5,1,3,2,(JJstill))),"(1, 1, 1, 2, 0)",lw1.mrg
6,0.0,1,",",0.401,205,Allison,sentence,0,3,3,1,1,-2,"(,,)","(1, 2, 0)",lw1.mrg
7,0.0,1,*PRO*-1,0.401,205,Allison,sentence,0,3,5,3,2,0,(S-AD(NP-SBJ(-NONE-*PRO*-1)),"(1, 3, 0, 0, 0)",lw1.mrg
8,0.0,1,waiting,0.401,205,Allison,sentence,1,4,5,2,1,-1,(V(VBGwaiting),"(1, 3, 1, 0, 0)",lw1.mrg
9,0.0,1,for,0.401,205,Allison,sentence,1,5,6,2,1,-3,(SBA(INfor),"(1, 3, 1, 1, 0, 0)",lw1.mrg
10,0.0,1,the,0.401,205,Allison,sentence,1,6,9,4,1,0,((NP-SB(NP(DTthe),"(1, 3, 1, 1, 1, 0, 0, 0, 0)",lw1.mrg
11,0.0,1,first,0.401,205,Allison,sentence,1,7,9,1,1,0,(JJfirst),"(1, 3, 1, 1, 1, 0, 0, 1, 0)",lw1.mrg
12,0.0,1,tiny,0.401,205,Allison,sentence,1,8,9,1,1,0,(JJtiny),"(1, 3, 1, 1, 1, 0, 0, 2, 0)",lw1.mrg
13,0.0,1,gleam,0.401,205,Allison,sentence,1,9,9,1,2,0,(NNgleam)),"(1, 3, 1, 1, 1, 0, 0, 3, 0)",lw1.mrg
14,0.0,1,from,0.401,205,Allison,sentence,1,10,9,2,1,-1,(PP(INfrom),"(1, 3, 1, 1, 1, 0, 1, 0, 0)",lw1.mrg
15,0.0,1,the,0.401,205,Allison,sentence,1,11,10,2,1,0,(NP(DTthe),"(1, 3, 1, 1, 1, 0, 1, 1, 0, 0)",lw1.mrg
16,0.0,1,scout,0.401,205,Allison,sentence,1,12,10,1,1,0,(NNscout),"(1, 3, 1, 1, 1, 0, 1, 1, 1, 0)",lw1.mrg
17,0.0,1,craft,0.401,205,Allison,sentence,1,13,10,1,4,2,(NNcraft)))),"(1, 3, 1, 1, 1, 0, 1, 1, 2, 0)",lw1.mrg
18,0.0,1,to,0.401,205,Allison,sentence,1,14,8,2,1,-1,(V(TOto),"(1, 3, 1, 1, 1, 1, 0, 0)",lw1.mrg
19,0.0,1,appear,0.401,205,Allison,sentence,1,15,9,2,1,-1,(V(VBappear),"(1, 3, 1, 1, 1, 1, 1, 0, 0)",lw1.mrg
20,0.0,1,in,0.401,205,Allison,sentence,1,16,10,2,1,-2,(PP-LOC-CL(INin),"(1, 3, 1, 1, 1, 1, 1, 1, 0, 0)",lw1.mrg
